,Price,Area,Location
92,1000000,17,
93,1800000,20,
94,1500000,20,
95,3300000,30,
96,2000000,40,
97,1700000,25,
98,1500000,18,
99,3500000,40,Mỹ An
100,2000000,20,
101,3000000,15,
102,1600000,30,
103,2500000,20,
104,1000000,19,
105,1800000,35,
106,2200000,22,
107,1400000,25,
108,1200000,22,
109,1500000,20,Hòa An
110,2500000,25,
111,1500000,25,Hòa Minh
112,1500000,22,
113,2000000,20,
114,1500000,20,
115,1300000,19,
116,2000000,20,
117,2000000,20,
118,1500000,15,
119,1900000,17,
120,1800000,18,
121,1500000,25,
122,1400000,15,
123,3300000,24,Phước Mỹ
124,2000000,20,
125,1500000,20,
126,900000,15,
127,2200000,22,
128,2000000,20,
129,1500000,27,
130,3500000,40,
131,1800000,18,
132,2500000,25,
133,1500000,19,
134,2700000,27,
135,2200000,22,
136,2000000,20,
137,2000000,24,
138,2000000,19,
139,1500000,30,
140,800000,16,Hòa Liên
141,1800000,30,
142,1500000,20,
143,700000,16,
144,2000000,20,
145,2200000,20,
146,1800000,18,
147,1700000,30,Khuê Trung
148,1800000,18,
149,2500000,20,Vĩnh Trung
150,1800000,40,
151,1100000,16,
152,1500000,25,
153,2500000,30,
154,2000000,20,
155,2800000,35,
156,1600000,24,
157,500000,16,Hòa Thọ Tây
158,1800000,18,
159,2800000,22,
160,2500000,30,
161,800000,14,
162,2500000,20,
163,2000000,20,
164,3000000,25,
165,2500000,25,
166,3500000,35,Hòa Hải
167,1700000,18,An Khê
168,2500000,35,
169,1500000,17,
170,3000000,30,Mỹ An
171,3000000,40,
172,2700000,27,
173,2500000,25,Mỹ An
174,2000000,20,
175,1400000,20,
176,2000000,18,Hòa Hải
177,3500000,35,
178,1600000,16,Hòa Minh
179,1600000,20,
180,1500000,20,
181,2500000,40,
182,1500000,20,
183,1500000,20,
184,1700000,25,
185,900000,20,Hòa Khánh Bắc
186,2200000,30,
187,3500000,30,
188,2200000,17,Khuê Trung
189,1600000,16,
190,1400000,20,
191,2000000,20,
192,1500000,25,
193,1500000,14,
194,1500000,20,
195,2800000,28,
196,1500000,20,
197,1300000,15,
198,1700000,25,
199,1800000,25,
200,1400000,18,
201,1200000,19,
202,1500000,20,
203,1500000,17,
204,2500000,25,
205,1800000,20,Khuê Trung
206,1100000,24,
207,1600000,20,Hòa Quý
208,3000000,27,
209,1600000,25,Mân Thái
210,2800000,28,
211,1300000,20,
212,1300000,19,
213,2000000,25,
214,3500000,35,
215,1700000,25,
216,2500000,25,
217,1200000,20,
218,1400000,25,
219,1000000,18,
220,2500000,25,
221,1700000,17,
222,3000000,50,
223,1500000,18,
224,1700000,20,
225,1400000,20,
226,1900000,16,
227,1300000,20,
228,2000000,30,
229,2300000,25,
230,1500000,20,
231,1500000,20,
232,1200000,18,
233,2800000,25,
234,2000000,20,
235,2500000,25,Vĩnh Trung
236,2200000,22,
237,2000000,20,Mỹ An
238,2000000,20,
239,1500000,20,
240,1100000,18,
241,1000000,20,
242,1600000,25,
243,3000000,30,
244,1500000,20,Hòa An
245,2300000,23,
246,1800000,15,Hòa Cường Bắc
247,1600000,20,
248,1300000,20,
249,1500000,19,
250,1500000,15,
251,2500000,20,
252,1000000,18,
253,6000000,17,
254,700000,19,Hòa Khánh Bắc
255,2000000,20,
256,1800000,20,
257,2000000,20,
258,2000000,20,
259,1200000,17,
260,1800000,20,Hòa Minh
261,2000000,20,
262,3000000,27,
263,2000000,15,
264,2000000,20,
265,2600000,20,
266,2000000,20,
267,2000000,20,
268,1000000,20,Hòa Hiệp Nam
269,1200000,16,
270,1500000,40,
271,2100000,21,
272,2000000,25,
273,1500000,20,
274,3000000,26,
275,1600000,16,Thuận Phước
276,3200000,28,Thuận Phước
277,1000000,18,Hòa Thọ Tây
278,2200000,22,
279,3000000,28,
280,1500000,25,
281,2000000,22,
282,1600000,20,Hòa Xuân
283,3300000,25,
284,1600000,10,
285,1600000,20,
286,1700000,17,
287,1500000,22,
288,1500000,15,
289,1300000,30,
290,2000000,25,
291,2200000,22,
292,3500000,26,
293,1300000,18,
294,3000000,25,Nại Hiên Đông
295,1700000,25,Hòa Hải
296,1800000,25,Hòa Minh
297,1400000,25,
298,1300000,25,
299,2000000,25,
300,2300000,25,
301,1700000,28,
302,3000000,35,
303,2300000,23,Thanh Khê Đông
304,3000000,25,Phước Mỹ
305,1600000,15,Mỹ An
306,3200000,30,Thanh Khê Đông
307,700000,16,Hòa Thọ Tây
308,1200000,22,Hòa Khánh Bắc
309,1400000,14,Hòa Khê
310,1700000,30,
311,2200000,25,Thạc Gián
312,900000,20,Hòa Khánh Bắc
313,900000,4,Hòa Cường Bắc
314,1700000,18,
315,900000,3,Hòa Thuận Tây
316,1200000,15,Khuê Mỹ
317,850000,32,Khuê Trung
318,2500000,25,
319,1200000,25,Hòa An
320,1500000,15,
321,3000000,25,Mân Thái
322,3100000,35,Chính Gián
323,1200000,18,Hòa Khánh Bắc
324,2600000,25,An Hải Bắc
325,2500000,25,Hòa Minh
326,2500000,25,Hòa Minh
327,3000000,35,Hòa Cường Bắc
328,2000000,50,
329,3000000,20,Khuê Trung
330,1200000,25,Hòa Khánh Bắc
331,2500000,25,Hòa Cường Nam
332,1000000,15,Hòa Khánh Bắc
333,1600000,20,An Hải Bắc
334,1600000,15,Thọ Quang
335,2500000,40,Mân Thái
336,1800000,20,Khuê Trung
337,2500000,20,Hòa An
338,2900000,25,Hòa Xuân
339,4500000,45,An Hải Tây
340,1700000,15,Hòa Minh
341,3000000,35,
342,3000000,30,Bình Hiên
343,3000000,50,Hòa Khánh Bắc
344,2500000,30,Thanh Khê Tây
345,1500000,20,Hòa Khánh Bắc
346,3500000,75,Xuân Hà
347,1700000,20,Thanh Bình
348,1100000,12,Bình Thuận
349,1230000,300,
350,2300000,28,Hòa Xuân
351,1300000,12,Khuê Mỹ
352,1800000,25,Hòa Minh
353,2000000,30,
354,3500000,30,Hòa Thuận Tây
355,1700000,12,An Hải Đông
356,2900000,37,Mân Thái
357,2500000,35,Khuê Trung
358,3300000,40,
359,2500000,20,An Khê
360,1500000,15,Hòa Khánh Bắc
361,1500000,20,Hòa Xuân
362,12000000,75,Tân Chính
363,3000000,30,Hòa Khánh Nam
364,1800000,16,Thuận Phước
365,4500000,47,Hải Châu I
366,1800000,20,Hòa Minh
367,600000,12,Hòa Thọ Tây
368,2000000,50,An Khê
369,2000000,25,Nại Hiên Đông
370,1400000,25,Hòa Khánh Nam
371,2800000,30,Khuê Trung
372,1000000,15,Hòa Xuân
373,800000,12,Hòa Khánh Bắc
374,2300000,20,Mỹ An
375,1200000,15,
376,1800000,25,Thanh Khê Đông
377,2500000,25,Thuận Phước
378,2000000,20,Hòa Cường Nam
379,1800000,22,Hòa Minh
380,1600000,30,Hòa Phát
381,3400000,55,Thọ Quang
382,3000000,20,An Khê
383,4000000,40,Hòa Khánh Nam
384,1800000,25,Thanh Khê Đông
385,1300000,20,Hòa Khánh Nam
386,3000000,80,Hòa Cường Bắc
387,2000000,40,
388,2500000,35,Khuê Trung
389,2000000,15,Hòa Khê
390,2200000,30,Hòa Khê
391,2500000,45,Hòa Minh
392,1000000,20,Hòa Khánh Bắc
393,1500000,35,
394,2800000,20,Xuân Hà
395,1400000,12,Hòa Xuân
396,2500000,25,Mân Thái
397,1500000,22,
398,2500000,22,An Khê
399,1800000,20,Phước Mỹ
400,1300000,20,Hòa Khánh Nam
401,2000000,25,Hòa Cường Nam
402,3000000,30,Khuê Mỹ
403,3000000,40,An Hải Tây
404,2500000,25,Hải Châu I
405,2000000,25,Khuê Trung
406,3000000,20,Thuận Phước
407,2800000,25,Hòa Cường Bắc
408,1300000,16,Hòa Minh
409,10000000,52,Mỹ An
410,4000000,30,Hòa Thuận Tây
411,1200000,14,Thanh Khê Tây
412,800000,14,Hòa Khánh Bắc
413,2000000,20,Hòa Minh
414,1800000,20,Hòa Xuân
415,1600000,25,Hòa An
416,2500000,28,Hòa Xuân
417,1300000,25,Hòa Thọ Tây
418,2600000,20,Hòa Thuận Tây
419,3000000,35,Hòa Minh
420,1000000,15,Hòa Thọ Đông
421,12000000,75,Thạc Gián
422,1800000,22,Mỹ An
423,2500000,30,Khuê Mỹ
424,2500000,30,Khuê Mỹ
425,1800000,15,Thọ Quang
426,2000000,40,Hòa Thọ Đông
427,2500000,30,Hòa Xuân
428,3300000,30,Xuân Hà
429,2300000,35,
430,800000,4,Hòa Cường Bắc
431,900000,5,Hòa Cường Bắc
432,500000,15,Hòa Khánh Bắc
433,2200000,20,Nại Hiên Đông
434,2500000,28,Hòa Xuân
435,1300000,30,
436,4000000,200,Khuê Mỹ
437,3000000,45,Hòa Xuân
438,2500000,36,
439,2700000,30,Xuân Hà
440,2000000,20,Khuê Trung
441,2000000,20,Hòa Minh
442,1800000,20,Khuê Trung
443,1600000,22,Thọ Quang
444,1200000,15,An Hải Đông
445,1500000,20,Hòa Minh
446,2200000,16,Hòa Thuận Tây
447,1000000,25,Hòa Khánh Bắc
448,1300000,20,Khuê Mỹ
449,3000000,50,Hòa An
450,850000,16,
451,1800000,20,Mỹ An
452,2000000,20,
453,1400000,12,Khuê Trung
454,1750000,25,Mân Thái
455,4500000,40,Xuân Hà
456,1500000,16,Hòa An
457,3500000,30,Thanh Bình
458,1500000,20,Thuận Phước
459,1500000,25,Hòa Minh
460,1500000,21,Thanh Khê Tây
461,3000000,20,An Hải Bắc
462,1500000,25,Hòa Minh
463,1600000,25,Thọ Quang
464,1500000,20,Hòa Minh
465,2000000,25,Hòa Xuân
466,1500000,20,Hòa Thọ Tây
467,1600000,25,Hòa An
468,1000000,50,An Hải Đông
469,1500000,18,Thạc Gián
470,1900000,18,Thọ Quang
471,3700000,60,Hòa Thuận Đông
472,3000000,20,Xuân Hà
473,700000,23,Hòa An
474,2000000,50,Hòa Hiệp Nam
475,2000000,25,Bình Hiên
476,2400000,16,Khuê Mỹ
477,1500000,20,Tân Chính
478,1850000,22,Thanh Bình
479,2500000,500,
480,1300000,25,Khuê Trung
481,4000000,50,Khuê Mỹ
482,2800000,20,Chính Gián
483,1500000,20,
484,1500000,20,Hải Châu I
485,1560000,20,Hòa An
486,2000000,60,Hòa An
487,1700000,20,Hòa Xuân
488,1500000,18,Hòa Minh
489,1600000,20,An Khê
490,2100000,22,An Hải Bắc
491,1600000,10,Phước Ninh
492,2500000,23,Hòa Cường Nam
493,2500000,12,Xuân Hà
494,2000000,30,An Khê
495,1200000,23,Hòa Khánh Bắc
496,2800000,25,Hòa Khê
497,1600000,30,Mỹ An
498,3500000,30,Nam Dương
499,3000000,30,Hòa Khê
500,1500000,20,Hòa Khánh Nam
501,2500000,25,Hòa Cường Nam
502,1800000,50,Hòa Khánh Nam
503,1000000,21,
504,2500000,30,Thanh Khê Tây
505,900000,16,
506,2500000,25,Hòa Thọ Đông
507,2600000,10,Mỹ An
508,1500000,14,Xuân Hà
509,900000,16,Thạc Gián
510,4000000,52,
511,800000,16,Thanh Khê Đông
512,1500000,22,Hòa Khánh Nam
513,2200000,20,Hòa Minh
514,900000,20,Hòa Xuân
515,1600000,30,Hòa Khánh Nam
516,1350000,16,Vĩnh Trung
517,4000000,28,Hòa Minh
518,2000000,32,Hòa Thọ Tây
519,1500000,20,Hòa Cường Nam
520,2500000,22,Hòa Thuận Tây
521,2200000,20,Thanh Khê Tây
522,600000,20,Hòa Thọ Tây
523,1200000,20,Hòa Khánh Bắc
524,1800000,30,Hòa Khánh Bắc
525,3000000,80,Hòa Thọ Tây
526,1400000,20,Hòa An
527,2000000,25,Chính Gián
528,1200000,30,Hòa Khánh Bắc
529,1500000,25,An Khê
530,1300000,18,Hòa Khánh Nam
531,4500000,20,Xuân Hà
532,1300000,16,Mỹ An
533,2000000,26,Hòa Phát
534,1200000,18,Hòa Hiệp Nam
535,2000000,24,Hòa Thuận Tây
536,1500000,30,Thanh Khê Tây
537,2000000,15,Khuê Mỹ
538,2000000,20,Hòa Khánh Nam
539,1500000,20,Thọ Quang
540,3300000,30,Thạc Gián
541,1000000,30,Mỹ An
542,3500000,30,Khuê Trung
543,600000,25,Hòa Thuận Tây
544,1800000,25,Phước Mỹ
545,2000000,30,Hòa Minh
546,1800000,18,Thọ Quang
547,2000000,20,Hòa Khánh Bắc
548,500000,16,Hòa Hiệp Bắc
549,3000000,35,Hòa Khê
550,800000,9,
551,2000000,30,Hòa Hiệp Nam
552,2700000,30,Hòa Xuân
553,3200000,25,Hòa An
554,1100000,30,Thuận Phước
555,4000000,25,Phước Mỹ
556,1000000,15,Hòa Thọ Tây
557,1900000,20,Hòa Khê
558,2500000,22,Khuê Mỹ
559,1200000,40,Hòa Cường Nam
560,1500000,15,Hòa Khánh Bắc
561,550000,20,Hòa Hiệp Bắc
562,2800000,25,Chính Gián
563,1500000,16,
564,1800000,18,Thanh Bình
565,2000000,32,Hòa Khánh Nam
566,1500000,13,Khuê Mỹ
567,2500000,25,Thuận Phước
568,1300000,25,Hòa Cường Nam
569,2600000,30,Khuê Mỹ
570,1200000,50,Hòa Phát
571,500000,30,
572,3500000,25,Khuê Mỹ
573,3000000,20,Mỹ An
574,3000000,20,Mỹ An
575,2500000,40,Hòa Xuân
576,1500000,20,Khuê Trung
577,1200000,13,An Hải Đông
578,2800000,25,
579,1500000,18,An Hải Bắc
580,1500000,30,Hòa Xuân
581,2000000,24,Hòa Khánh Nam
582,1800000,35,Hòa An
583,1100000,22,Hòa Khánh Bắc
584,1500000,30,Khuê Mỹ
585,1600000,20,Hòa Cường Bắc
586,700000,12,Hòa Khánh Bắc
587,1300000,20,Hòa Thọ Đông
588,1350000,40,Hòa Thọ Tây
589,2800000,20,Khuê Trung
590,3000000,20,Phước Mỹ
591,3800000,50,Mỹ An
592,1000000,16,Hòa Minh
593,1500000,16,Khuê Trung
594,2200000,16,Hòa Cường Bắc
595,3000000,30,Thạc Gián
596,5500000,75,Mân Thái
597,2500000,23,Hòa Cường Bắc
598,1800000,20,Mỹ An
599,1800000,20,Hòa An
600,1200000,16,
601,2500000,50,Hòa Xuân
602,1500000,25,Hòa Xuân
603,2000000,15,Hòa Thuận Tây
604,700000,25,Hòa Minh
605,700000,18,Hòa Thọ Tây
606,1100000,20,Hòa Khánh Bắc
607,1700000,25,Hòa Minh
608,3000000,20,Hòa Xuân
609,2000000,12,Thanh Bình
610,2800000,28,Hòa Khánh Nam
611,1000000,15,Hòa Khánh Bắc
612,2200000,25,
613,1100000,22,Hòa Thọ Tây
614,6000000,50,Phước Mỹ
615,1400000,16,
616,2800000,26,An Hải Đông
617,1000000,100,Hòa Cường Nam
618,3000000,30,Mỹ An
619,2000000,16,
620,2500000,40,Thanh Khê Tây
621,1500000,20,Hòa Xuân
622,1500000,20,
623,3000000,20,Hòa Minh
624,3500000,80,Nại Hiên Đông
625,1200000,15,Hòa Minh
626,3800000,30,Phước Mỹ
627,3000000,35,Hòa Hiệp Nam
628,2200000,24,An Khê
629,2000000,24,An Khê
630,2200000,24,An Khê
631,1800000,20,Hòa Khánh Bắc
632,1000000,16,Hòa Khánh Bắc
633,2000000,25,Thọ Quang
634,1200000,20,Hòa Minh
635,5000000,40,Hòa Cường Nam
636,4000000,24,Tam Thuận
637,3000000,53,Khuê Mỹ
638,2000000,25,An Khê
639,3500000,30,Phước Mỹ
640,1900000,20,Phước Mỹ
641,1800000,20,Hòa Khánh Bắc
642,2300000,25,Chính Gián
643,1000000,20,Khuê Mỹ
644,1300000,4,Mỹ An
645,1000000,25,Hòa Khánh Bắc
646,2500000,32,Tân Chính
647,4000000,40,Hòa Cường Nam
648,1000000,30,An Hải Đông
649,2000000,30,
650,2000000,15,Hòa Thuận Tây
651,3500000,30,Hòa Khánh Bắc
652,1300000,18,Hòa Minh
653,1300000,18,Hòa Minh
654,1300000,20,Hòa Khánh Nam
655,1200000,16,Hòa Khánh Bắc
656,2500000,25,Hòa Thuận Đông
657,3800000,30,Phước Mỹ
658,1000000,15,Hòa Minh
659,900000,12,Hòa Khánh Bắc
660,2500000,35,Mỹ An
661,2000000,30,Hòa Hiệp Nam
662,3000000,25,Thuận Phước
663,2900000,45,Hòa Xuân
664,1400000,15,Hòa Khê
665,3600000,26,Hòa Cường Bắc
666,5500000,45,Mỹ An
667,2000000,25,
668,1700000,25,Thạc Gián
669,3500000,45,Hòa Khánh Bắc
670,1800000,24,Hòa Minh
671,5000000,80,Mỹ An
672,1500000,16,Khuê Trung
673,1000000,15,Thọ Quang
674,2300000,20,Hòa Xuân
675,800000,20,Hòa Khánh Bắc
676,2500000,15,Hòa Thọ Đông
677,2000000,30,Hòa Cường Nam
678,1800000,10,Mỹ An
679,1500000,20,Hòa Phát
680,800000,20,Hòa Khánh Bắc
681,1500000,15,Khuê Trung
682,1300000,24,Hòa Khánh Nam
683,1500000,15,Hòa Thọ Tây
684,900000,20,Hòa Khánh Bắc
685,2500000,50,Thạch Thang
686,3500000,80,Hòa Khánh Nam
687,2000000,90,Hòa Minh
688,2000000,28,Hòa Khánh Nam
689,300000,20,Phước Mỹ
690,5500000,20,Hòa Cường Nam
691,2500000,30,Khuê Mỹ
692,2700000,30,Khuê Trung
693,2000000,20,Thanh Bình
694,4000000,40,Hòa Khánh Nam
695,3000000,27,Nam Dương
696,3000000,30,Hòa Xuân
697,1000000,40,
698,1800000,20,Hòa Minh
699,1800000,18,Hòa Khánh Bắc
700,3500000,30,Thạc Gián
701,3800000,30,An Hải Tây
702,1400000,20,Hòa Khánh Bắc
703,1100000,25,Hòa Khánh Bắc
704,2000000,50,
705,2500000,30,Hòa Cường Nam
706,4000000,20,Hòa Cường Bắc
707,2000000,17,An Hải Đông
708,3500000,35,
709,1000000,13,Mỹ An
710,2400000,147,Hòa Minh
711,1800000,25,Hòa Minh
712,3600000,40,Hòa Khánh Nam
713,3000000,85,Thanh Khê Đông
714,6000000,45,Hòa Thuận Tây
715,1600000,28,Hòa Khánh Bắc
716,3500000,40,Hòa Cường Nam
717,2500000,20,Khuê Trung
718,1000000,23,Mỹ An
719,1700000,20,Hòa Minh
720,1000000,16,Hòa Hiệp Bắc
721,3000000,40,Bình Hiên
722,1500000,25,Hòa Cường Bắc
723,2500000,35,Chính Gián
724,1200000,30,
725,1600000,9,Hòa Xuân
726,1700000,20,Xuân Hà
727,2000000,25,Thọ Quang
728,900000,16,Hòa Khánh Bắc
729,4000000,50,
730,1500000,35,
731,2300000,50,Hòa Thuận Tây
732,1500000,22,Hòa An
733,1000000,12,Hòa Khánh Nam
734,2000000,50,Hòa An
735,2500000,33,Hòa Cường Nam
736,1800000,22,Hòa Khánh Bắc
737,1200000,18,Hòa Hiệp Nam
738,2300000,15,Hòa Minh
739,1500000,25,
740,4300000,45,Hòa Thuận Tây
741,3000000,30,Hòa Minh
742,1400000,20,Hòa Cường Bắc
743,1000000,25,Phước Ninh
744,5500000,35,An Hải Bắc
745,3490000,40,An Hải Tây
746,1600000,15,Hòa Cường Nam
747,1800000,18,Hòa Thuận Đông
748,2400000,35,
749,2000000,25,Hòa Hiệp Nam
750,2900000,25,Hòa Thọ Đông
751,2000000,30,Thanh Khê Tây
752,1200000,15,Phước Mỹ
753,2500000,25,Xuân Hà
754,1400000,16,
755,1500000,15,Thanh Bình
756,3000000,25,Hòa Cường Bắc
757,3500000,25,Mỹ An
758,2800000,30,Khuê Mỹ
759,1800000,20,Khuê Trung
760,1500000,100,Hòa Cường Bắc
761,1300000,20,An Hải Bắc
762,2500000,30,Chính Gián
763,1000000,20,Hòa Khánh Nam
764,1200000,14,Hòa Khánh Nam
765,4000000,100,Khuê Mỹ
766,4000000,100,Khuê Mỹ
767,2500000,120,Hòa Minh
768,2000000,20,Tân Chính
769,3000000,35,Hòa Minh
770,3500000,35,Hải Châu I
771,1600000,16,Hòa Xuân
772,950000,20,Hòa Khánh Bắc
773,1600000,20,
774,1300000,15,An Hải Bắc
775,1500000,20,An Hải Bắc
776,1600000,20,Hòa Khánh Nam
777,1500000,30,Hòa Khánh Bắc
778,4000000,40,Khuê Trung
779,1500000,20,Hòa Khánh Nam
780,1500000,30,Hòa An
781,2600000,20,Bình Hiên
782,1500000,20,
783,4000000,20,Hòa Cường Nam
784,800000,23,Hòa Phát
785,3500000,25,Mỹ An
786,2000000,24,Khuê Trung
787,1500000,20,An Hải Bắc
788,2000000,25,Mân Thái
789,2000000,20,Vĩnh Trung
790,1500000,20,An Khê
791,3000000,30,Hòa Xuân
792,2800000,25,Xuân Hà
793,2500000,32,An Hải Bắc
794,2000000,25,
795,2500000,25,
796,7000000,70,Chính Gián
797,2000000,40,Hòa Thọ Đông
798,1500000,27,Hòa Xuân
799,2000000,16,An Hải Đông
800,1200000,15,An Hải Bắc
801,3000000,35,Hòa Minh
802,2300000,40,Hòa An
803,1500000,16,Hòa An
804,1100000,22,Hòa Minh
805,1600000,18,Hòa Cường Bắc
806,700000,12,Hòa Khánh Bắc
807,850000,100,Thạch Thang
808,2200000,24,Hòa Minh
809,1700000,150,
810,1800000,18,Chính Gián
811,1800000,30,Hòa Khánh Bắc
812,1400000,15,Hòa Cường Bắc
813,1500000,25,Xuân Hà
814,2100000,20,Hòa Phát
815,3000000,25,Hòa An
816,3500000,40,Hòa Thuận Tây
817,2200000,25,Chính Gián
818,3000000,30,Khuê Mỹ
819,1300000,20,Hòa Khánh Nam
820,3500000,100,
821,2500000,22,Hòa Minh
822,1500000,26,An Khê
823,4500000,80,Hòa Cường Bắc
824,1500000,22,Thọ Quang
825,1500000,30,Thọ Quang
826,2500000,25,Hòa Minh
827,3500000,30,Khuê Mỹ
828,1200000,9,Thanh Khê Tây
829,1800000,22,An Hải Đông
830,3000000,28,Hòa Cường Bắc
831,1300000,20,Hòa Khánh Nam
832,800000,12,
833,1800000,20,An Khê
834,1800000,23,Mỹ An
835,3000000,15,An Hải Tây
836,1500000,12,Hòa Thuận Tây
837,2000000,25,Khuê Trung
838,1400000,14,Hòa Khê
839,2200000,15,Thanh Khê Tây
840,2200000,25,Hòa Minh
841,4500000,40,Thanh Bình
842,3200000,25,Hòa Thọ Đông
843,1200000,15,Hòa Khánh Nam
844,2500000,40,Hòa Minh
845,1800000,25,Thọ Quang
846,2000000,18,Thuận Phước
847,2500000,25,Hòa Minh
848,1000000,15,Thanh Bình
849,1400000,16,Khuê Trung
850,1500000,16,Khuê Trung
851,1700000,111111,Hòa Minh
852,1800000,20,Hòa Cường Bắc
853,2900000,30,Khuê Mỹ
854,2000000,16,Khuê Trung
855,1500000,20,Hòa Cường Nam
856,3500000,20,Hải Châu I
857,2000000,17,Hòa Thuận Tây
858,1700000,30,Thọ Quang
859,1500000,20,Thuận Phước
860,3500000,65,Tân Chính
861,1500000,15,Hòa An
862,4000000,50,Thanh Khê Đông
863,1500000,22,Hòa Minh
864,1800000,20,Hòa An
865,4200000,30,An Hải Tây
866,1100000,15,Hòa Thọ Tây
867,2500000,20,Hòa An
868,2200000,25,An Hải Bắc
869,1800000,25,Hòa Khánh Bắc
870,1500000,15,Hòa Khánh Bắc
871,3000000,50,Hòa Thuận Tây
872,4000000,40,Hòa Cường Bắc
873,2500000,40,Hòa Minh
874,3200000,28,An Hải Tây
875,2500000,15,Thanh Khê Tây
876,1500000,16,Hòa Cường Nam
877,2000000,20,Khuê Trung
878,2900000,25,Tân Chính
879,4300000,50,Hòa Minh
880,2550000,70,Thạc Gián
881,950000,30,Hòa Khánh Bắc
882,1650000,28,Hòa Minh
883,1200000,15,Hòa Minh
884,3500000,50,An Hải Đông
885,1500000,25,Hòa Cường Nam
886,2220000,60,
887,1500000,15,Hòa Khê
888,1400000,25,Hòa Khánh Bắc
889,2500000,28,Hòa Thọ Đông
890,2000000,15,
891,3200000,20,Mỹ An
892,3800000,35,An Hải Bắc
893,1700000,25,
894,4000000,60,Hòa Minh
895,1500000,10,Thuận Phước
896,1800000,20,Hòa Khánh Bắc
897,2000000,20,An Hải Đông
898,2000000,40,Mân Thái
899,1100000,1,Hòa Minh
900,5000000,30,Mỹ An
901,1800000,22,Hòa Cường Nam
902,2500000,28,Hòa Cường Nam
903,2000000,25,Hòa Minh
904,1200000,15,Hòa Thuận Tây
905,2200000,25,Hòa Minh
906,900000,18,Hòa Khánh Bắc
907,3400000,20,Hòa Cường Bắc
908,1800000,20,Hòa Khánh Bắc
909,850000,15,Hòa Minh
910,2500000,20,Hải Châu I
911,7000000,50,Hòa Minh
912,2300000,23,Thanh Khê Đông
913,1900000,25,Hòa Khê
914,2500000,40,Hòa Xuân
915,3200000,25,
916,1900000,30,Hòa Khánh Bắc
917,1800000,29,Hòa Minh
918,2000000,35,Hòa Minh
919,5500000,45,
920,1800000,18,
921,3000000,40,
922,1500000,22,
923,1200000,20,
924,2500000,35,Hòa Xuân
925,2000000,30,Hòa Xuân
926,1400000,24,
927,5500000,55,Mỹ An
928,1400000,24,
929,1700000,16,Mỹ An
930,2000000,25,An Khê
931,1500000,15,
932,1850000,18,Hòa Thuận Đông
933,3700000,40,Khuê Mỹ
934,2000000,25,
935,1800000,25,Phước Mỹ
936,2100000,25,Hòa Khánh Bắc
937,1000000,16,Thanh Khê Tây
938,2000000,20,An Khê
939,1000000,18,Hòa Cường Nam
940,1400000,17,Hòa Thuận Tây
941,3000000,32,Thạch Thang
